"Gene_name" "P_values" "Adjusted_value" "is_significant"
"2911" "KCNH3" 8.930507e-13 8.50952373809524e-11 TRUE
"2929" "GJC1" 2.355564e-12 8.50952373809524e-11 TRUE
"2937" "MED21" 1.165376e-12 8.50952373809524e-11 TRUE
"3072" "CD300LF" 2.25484e-12 8.50952373809524e-11 TRUE
"3184" "MAN1A1" 1.330677e-12 8.50952373809524e-11 TRUE
"3226" "PRR15" 1.066681e-12 8.50952373809524e-11 TRUE
"3237" "GPC3" 8.930507e-13 8.50952373809524e-11 TRUE
"3239" "MARVELD2" 2.460697e-12 8.50952373809524e-11 TRUE
"3275" "TFAM" 2.25484e-12 8.50952373809524e-11 TRUE
"3278" "INPP5J" 1.115025e-12 8.50952373809524e-11 TRUE
"3280" "FOXC1" 1.892519e-12 8.50952373809524e-11 TRUE
"3382" "EMX1" 1.390896e-12 8.50952373809524e-11 TRUE
"3411" "ACPP" 8.169609e-13 8.50952373809524e-11 TRUE
"3469" "TMEM178A" 1.977347e-12 8.50952373809524e-11 TRUE
"3559" "SEMA6D" 1.519103e-12 8.50952373809524e-11 TRUE
"3563" "DMRTC1B" 2.355564e-12 8.50952373809524e-11 TRUE
"3601" "SLC4A11" 1.977347e-12 8.50952373809524e-11 TRUE
"3620" "CTC-236F12.4" 2.355564e-12 8.50952373809524e-11 TRUE
"3630" "CEL" 1.453614e-12 8.50952373809524e-11 TRUE
"3642" "PAQR7" 9.760842e-13 8.50952373809524e-11 TRUE
"3656" "AGAP2" 2.25484e-12 8.50952373809524e-11 TRUE
"3741" "FAM167A" 1.066681e-12 8.50952373809524e-11 TRUE
"3754" "MRPL33" 1.19836e-12 8.50952373809524e-11 TRUE
"3827" "DSTN" 1.977114e-12 8.50952373809524e-11 TRUE
"3828" "PPP1R3G" 1.811049e-12 8.50952373809524e-11 TRUE
"3841" "DUSP9" 9.75966e-13 8.50952373809524e-11 TRUE
"3849" "LRRC25" 1.892519e-12 8.50952373809524e-11 TRUE
"3867" "PSMB8" 8.930507e-13 8.50952373809524e-11 TRUE
"3887" "CLDN16" 1.658885e-12 8.50952373809524e-11 TRUE
"3896" "HSD11B2" 8.541746e-13 8.50952373809524e-11 TRUE
"3909" "TNFAIP6" 1.892519e-12 8.50952373809524e-11 TRUE
"3916" "KIAA1161" 1.811263e-12 8.50952373809524e-11 TRUE
"3948" "FZD1" 1.165516e-12 8.50952373809524e-11 TRUE
"3972" "MYO9B" 1.658885e-12 8.50952373809524e-11 TRUE
"3977" "HINT2" 2.460697e-12 8.50952373809524e-11 TRUE
"3982" "DDB2" 8.930507e-13 8.50952373809524e-11 TRUE
"4009" "SLC12A1" 8.541746e-13 8.50952373809524e-11 TRUE
"4026" "FAM163A" 1.718531e-12 8.50952373809524e-11 TRUE
